[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99003,0.00042,0.00422,-0.24523,0.00554,0,157.1, 8 x 26,102.5,106.4,115,0,0.01, 0 x 9416,0.01,-0.00017,0.00005,0.00026,-0.00535,0,3,104.2,0.475
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98996,0.00042,0.00399,-0.24499,0.00553,5,104, 8 x 45,97.5,101.4,120,0,0.01, 0 x 226,0.01,-0.00006,0.00007,-0.00019,-0.00463,0,0,99.2,0.453
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98924,0.00054,0.00469,-0.24417,0.00624,1,97, 45 x 45,93.35,95.55,125,0,0.01, 0 x 136,0.01,-0.00044,0.00003,-0.00022,-0.00492,0,2,94.2,0.43
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98015,0.0008,0.00772,-0.48359,0.00545,0,103.97, 6 x 5,88.75,90.65,130,0,0.01, 0 x 153,0.01,-0.001,0.00002,0.00065,-0.00513,-0.00018,1,89.2,0.407
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98866,0.00056,0.00401,-0.21886,0.00672,64,87.67, 45 x 45,83.3,85.55,135,0,0.01, 0 x 148,0.01,-0.00048,0.00004,0.0005,-0.00458,0,1,84.2,0.384
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.97631,0.001,0.0082,-0.50478,0.00661,9,80.53, 12 x 26,78.9,80.55,140,0,0.01, 0 x 118,0.01,-0.00022,0.00003,0.0005,-0.00474,-0.00014,0,79.2,0.361
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.96687,0.00141,0.01159,-0.73471,0.00658,0,83.26, 4 x 2,72.6,77.35,145,0,0.01, 0 x 65,0.01,-0.00023,0.00005,-0.00017,-0.0051,0,3,74.2,0.338
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98613,0.00089,0.0053,-0.21607,0.00688,19,74.41, 45 x 45,68.35,70.5,150,0,0.01, 0 x 31,0.01,-0.00084,0.00005,0.0007,-0.00471,0,6,69.2,0.316
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98557,0.001,0.0055,-0.2153,0.00681,8,64.97, 45 x 45,63.35,65.5,155,0,0.01, 0 x 34,0.01,-0.00025,0.00014,0.0007,-0.00487,0,0,64.2,0.293
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98247,0.00124,0.0067,-0.23907,0.00784,29,59.97, 45 x 14,59.3,59.6,160,0,0.01, 0 x 1960,0.01,-0.00057,0.0001,0,-0.0046,-0.00042,99,59.2,0.27
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98195,0.00149,0.00658,-0.2385,0.00776,118,54.74, 15 x 14,54.3,54.6,165,0.01,0.02, 22 x 52,0.01,-0.00249,0.00027,0.00101,-0.0146,0,52,54.2,0.247
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98191,0.00165,0.0068,-0.21394,0.00758,30,50.08, 19 x 7,49.3,49.55,170,0.01,0.02, 52 x 37,0.02,-0.00211,0.00043,0.00107,-0.01507,-0.00044,356,49.2,0.224
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.9743,0.00231,0.00888,-0.2834,0.00835,33,44.35, 45 x 18,44.35,44.65,175,0.01,0.02, 206 x 2,0.02,-0.0032,0.00044,0.00171,-0.01533,0,785,44.2,0.202
